State,District,City,Population
Jammu & Kashmir,Srinagar,Srinagar,1180570
Jammu & Kashmir,Anantnag,Anantnag,150198
Jammu & Kashmir,Jammu,Jammu,576198
Himachal Pradesh,Shimla,Shimla,169578
Punjab,Gurdaspur,Pathankot,156306
Punjab,Gurdaspur,Batala,158621
Punjab,Jalandhar,Jalandhar,868181
Punjab,Hoshiarpur,Hoshiarpur,168653
Punjab,Ludhiana,Khanna,128137
Punjab,Ludhiana,Ludhiana,1618879
Punjab,Moga,Moga,163397
Punjab,Firozpur,Firozpur,110313
Punjab,Firozpur,Abohar,145302
Punjab,Muktsar,Muktsar,116747
Punjab,Bathinda,Bathinda,285788
Punjab,Patiala,Patiala,446246
Punjab,Amritsar,Amritsar,1155664
Punjab,Sahibzada Ajit Singh Nagar,S.A.S. Nagar,166864
Punjab,Sangrur,Malerkotla,135424
Punjab,Barnala,Barnala,116449
Chandigarh,Chandigarh,Chandigarh,970602
Uttarakhand,Dehradun,Dehradun,574840
Uttarakhand,Nainital,Haldwani,201461
Uttarakhand,Udham Singh Nagar,Kashipur,121623
Uttarakhand,Udham Singh Nagar,Rudrapur,154554
Uttarakhand,Hardwar,Roorkee,118200
Uttarakhand,Hardwar,Hardwar,231338
Haryana,Panchkula,Panchkula,211355
Haryana,Ambala,Ambala,195153
Haryana,Ambala,Ambala Sadar,104974
Haryana,Yamunanagar,Jagadhri,124894
Haryana,Yamunanagar,Yamunanagar,217071
Haryana,Kurukshetra,Thanesar,155152
Haryana,Kaithal,Kaithal,144915
Haryana,Karnal,Karnal,302140
Haryana,Panipat,Panipat,295970
Haryana,Sonipat,Sonipat,289333
Haryana,Jind,Jind,167592
Haryana,Sirsa,Sirsa,182534
Haryana,Hisar,Hisar,307024
Haryana,Bhiwani,Bhiwani,196057
Haryana,Rohtak,Rohtak,374292
Haryana,Jhajjar,Bahadurgarh,170767
Haryana,Rewari,Rewari,143021
Haryana,Gurgaon,Gurgaon,886519
Haryana,Faridabad,Faridabad,1414050
Haryana,Palwal,Palwal,131926
NCT Of Delhi,North West,DMC,11007835
NCT Of Delhi,North West,Kirari Suleman Nagar,283211
NCT Of Delhi,North West,Sultan Pur Majra,181554
NCT Of Delhi,North West,Bhalswa Jahangir Pur,197148
NCT Of Delhi,North,Burari,146190
NCT Of Delhi,North East,Karawal Nagar,224281
NCT Of Delhi,North East,Mustafabad,127167
NCT Of Delhi,North East,Gokal Pur,121870
NCT Of Delhi,North East,Mandoli,120417
NCT Of Delhi,East,Dallo Pura,154791
NCT Of Delhi,West,Hastsal,176877
NCT Of Delhi,West,Nangloi Jat,205596
NCT Of Delhi,South West,Delhi Cantonment,101704
NCT Of Delhi,South,Deoli,169122
Rajasthan,Ganganagar,Ganganagar,237780
Rajasthan,Hanumangarh,Hanumangarh,150958
Rajasthan,Bikaner,Bikaner,644406
Rajasthan,Churu,Churu,120157
Rajasthan,Churu,Sujangarh,101523
Rajasthan,Jhunjhunun,Jhunjhunun,118473
Rajasthan,Alwar,Bhiwadi,104921
Rajasthan,Alwar,Alwar,322568
Rajasthan,Bharatpur,Bharatpur,252838
Rajasthan,Dhaulpur,Dhaulpur,133075
Rajasthan,Karauli,Hindaun,105452
Rajasthan,Sawai Madhopur,Gangapur City,119090
Rajasthan,Sawai Madhopur,Sawai Madhopur,121106
Rajasthan,Jaipur,Jaipur,3073350
Rajasthan,Sikar,Sikar,244497
Rajasthan,Nagaur,Nagaur,105218
Rajasthan,Jodhpur,Jodhpur,1056191
Rajasthan,Pali,Pali,230075
Rajasthan,Ajmer,Kishangarh,154886
Rajasthan,Ajmer,Ajmer,542321
Rajasthan,Ajmer,Beawar,151152
Rajasthan,Tonk,Tonk,165294
Rajasthan,Bundi,Bundi,103286
Rajasthan,Bhilwara,Bhilwara,359483
Rajasthan,Banswara,Banswara,101017
Rajasthan,Chittaurgarh,Chittaurgarh,116406
Rajasthan,Kota,Kota,1001694
Rajasthan,Baran,Baran,117992
