State Code,State Name,District Code,City,Tot_P
01,JAMMU & KASHMIR,10,Srinagar (M Corp.),"1,192,792"
01,JAMMU & KASHMIR,14,Anantnag (M Cl),"108,505"
01,JAMMU & KASHMIR,21,Jammu (MC),"503,690"
02,HIMACHAL PRADESH,11,Shimla (M Corp.),"169,758"
03,PUNJAB,01,Pathankot (M Cl),"148,357"
03,PUNJAB,01,Batala (M Cl),"156,400"
03,PUNJAB,02,Kapurthala (M Cl),"101,654"
03,PUNJAB,03,Jalandhar (M Corp.),"862,196"
03,PUNJAB,04,Hoshiarpur (M Cl),"168,443"
03,PUNJAB,07,Khanna (M Cl),"128,130"
03,PUNJAB,07,Ludhiana (M Corp.),"1,613,878"
03,PUNJAB,08,Moga (M Cl),"150,432"
03,PUNJAB,09,Firozpur (M Cl),"110,091"
03,PUNJAB,09,Abohar (M Cl),"145,238"
03,PUNJAB,10,Muktsar (M Cl),"117,085"
03,PUNJAB,12,Bathinda (M Corp.),"285,813"
03,PUNJAB,14,Patiala (M Corp.),"405,164"
03,PUNJAB,15,Amritsar (M Corp.),"1,132,761"
03,PUNJAB,18,S.A.S. Nagar (M Cl),"146,104"
03,PUNJAB,19,Malerkotla (M Cl),"135,330"
03,PUNJAB,20,Barnala (M Cl),"116,454"
04,CHANDIGARH,01,Chandigarh (M Corp.),"960,787"
05,UTTARAKHAND,05,Dehradun (M Corp.),"578,420"
05,UTTARAKHAND,11,Haldwani-cum-Kathgodam (NPP),"156,060"
05,UTTARAKHAND,12,Kashipur (NPP),"121,610"
05,UTTARAKHAND,12,Rudrapur (NPP),"140,884"
05,UTTARAKHAND,13,Roorkee (NPP),"118,188"
05,UTTARAKHAND,13,Hardwar (NPP),"225,235"
06,HARYANA,01,Panchkula (M Cl) (incl.spl),"210,175"
06,HARYANA,02,Ambala Sadar (M CL),"104,268"
06,HARYANA,02,Ambala (M Cl),"196,216"
06,HARYANA,03,Yamunanagar (M Cl),"216,628"
06,HARYANA,03,Jagadhri (M Cl),"124,915"
06,HARYANA,04,Thanesar (M Cl),"154,962"
06,HARYANA,05,Kaithal (M Cl),"144,633"
06,HARYANA,06,Karnal (M Cl),"286,974"
06,HARYANA,07,Panipat (M Cl),"294,150"
06,HARYANA,08,Sonipat (M Cl),"277,053"
06,HARYANA,09,Jind (M Cl),"166,225"
06,HARYANA,11,Sirsa (M Cl),"183,282"
06,HARYANA,12,Hisar (M Cl),"301,249"
06,HARYANA,13,Bhiwani (M Cl),"197,662"
06,HARYANA,14,Rohtak (M Cl),"373,133"
06,HARYANA,15,Bahadurgarh (M Cl),"170,426"
06,HARYANA,17,Rewari (M Cl),"140,864"
06,HARYANA,18,Gurgaon (M Corp.),"876,824"
06,HARYANA,20,Faridabad (M Corp.),"1,404,653"
06,HARYANA,21,Palwal (M Cl),"127,931"
07,NCT OF DELHI,99,DMC (U) (M Corp.),"11,007,835"
07,NCT OF DELHI,99,NDMC (M Cl) Total,"249,998"
07,NCT OF DELHI,01,Kirari Suleman Nagar (CT),"282,598"
07,NCT OF DELHI,01,Sultan Pur Majra (CT),"181,624"
07,NCT OF DELHI,01,Bhalswa Jahangir Pur (CT),"197,150"
07,NCT OF DELHI,02,Burari (CT),"145,584"
07,NCT OF DELHI,03,Karawal Nagar (CT),"224,666"
07,NCT OF DELHI,03,Mustafabad (CT),"127,012"
07,NCT OF DELHI,03,Gokal Pur (CT),"121,938"
07,NCT OF DELHI,03,Mandoli (CT),"120,345"
07,NCT OF DELHI,04,Dallo Pura (CT),"154,955"
07,NCT OF DELHI,07,Hastsal (CT),"177,033"
07,NCT OF DELHI,07,Nangloi Jat (CT),"205,497"
