State,District,City,Population,Latitude,Longitude
Jammu & Kashmir,Srinagar,Srinagar,1180570,34.083656,74.797371
Jammu & Kashmir,Anantnag,Anantnag,150198,33.729729,75.149780
Jammu & Kashmir,Jammu,Jammu,576198,32.733333333333334,74.86666666666666
Himachal Pradesh,Shimla,Shimla,169578,31.104605,77.173424
Punjab,Gurdaspur,Pathankot,156306,32.265942,75.646873
Punjab,Gurdaspur,Batala,158621,31.823462,75.205063
Punjab,Jalandhar,Jalandhar,868181,31.326015,75.576180
Punjab,Hoshiarpur,Hoshiarpur,168653,31.527355,75.913673
Punjab,Ludhiana,Khanna,128137,30.702877,76.220222
Punjab,Ludhiana,Ludhiana,1618879,30.900965,75.857277
Punjab,Moga,Moga,163397,30.816460,75.171707
Punjab,Firozpur,Firozpur,110313,30.923433,74.610214
Punjab,Firozpur,Abohar,145302,30.133333333333333,74.2
Punjab,Muktsar,Muktsar,116747,30.704649,76.717873
Punjab,Bathinda,Bathinda,285788,30.210995,74.945473
Punjab,Patiala,Patiala,446246,30.340000,76.379997
Punjab,Amritsar,Amritsar,1155664,31.633980,74.872261
Punjab,Sahibzada Ajit Singh Nagar,S.A.S. Nagar,166864,30.704649,76.717873
Punjab,Sangrur,Malerkotla,135424,30.525005,75.890121
Punjab,Barnala,Barnala,116449,30.366666666666667,75.53333333333333
Chandigarh,Chandigarh,Chandigarh,970602,30.741482,76.768066
Uttarakhand,Dehradun,Dehradun,574840,30.316496,78.032188
Uttarakhand,Nainital,Haldwani,201461,29.219677,79.512459
Uttarakhand,Udham Singh Nagar,Kashipur,121623,29.210421,78.961830
Uttarakhand,Udham Singh Nagar,Rudrapur,154554,28.978298,79.399612
Uttarakhand,Hardiwar,Roorkee,118200,29.854263,77.888000
Uttarakhand,Hardiwar,Haridwar,231338,29.945690,78.164246
Haryana,Panchkula,Panchkula,211355,30.695202,76.854172
Haryana,Ambala,Ambala,195153,30.378180,76.776695
Haryana,Ambala,Ambala Sadar,104974,30.33477,76.84335
Haryana,Yamunanagar,Jagadhri,124894,30.172716,77.299492
Haryana,Yamunanagar,Yamunanagar,217071,30.116666666666667,77.28333333333333
Haryana,Kurukshetra,Thanesar,155152,29.962072,76.817825
Haryana,Kaithal,Kaithal,144915,29.8,76.38333333333334
Haryana,Karnal,Karnal,302140,29.685629,76.990547
Haryana,Panipat,Panipat,295970,29.398928,76.977081
Haryana,Sonipat,Sonipat,289333,28.928774,77.091278
Haryana,Jind,Jind,167592,29.316668,76.316666
Haryana,Sirsa,Sirsa,182534,29.536535,75.025505
Haryana,Hisar,Hisar,307024,29.15,75.7
Haryana,Bhiwani,Bhiwani,196057,28.799046,76.133514
Haryana,Rohtak,Rohtak,374292,28.895515,76.606613
Haryana,Jhajjar,Bahadurgarh,170767,28.680000,76.919998
Haryana,Rewari,Rewari,143021,28.183332,76.616669
Haryana,Gurgaon,Gurgaon,886519,28.457523,77.026344
Haryana,Faridabad,Faridabad,1414050,28.416666666666668,77.3
Haryana,Palwal,Palwal,131926,28.148735,77.332024
NCT Of Delhi,North West,DMC,11007835,0,0
NCT Of Delhi,North West,Kirari Suleman Nagar,283211,0,0
NCT Of Delhi,North West,Sultan Pur Majra,181554,0,0
NCT Of Delhi,North West,Bhalswa Jahangir Pur,197148,0,0
NCT Of Delhi,North,Burari,146190,28.75,77.18333333333334
NCT Of Delhi,North East,Karawal Nagar,224281,0,0
NCT Of Delhi,North East,Mustafabad,127167,0,0
NCT Of Delhi,North East,Gokal Pur,121870,0,0
NCT Of Delhi,North East,Mandoli,120417,0,0
NCT Of Delhi,East,Dallo Pura,154791,0,0
NCT Of Delhi,West,Hastsal,176877,28.633333333333333,77.05
NCT Of Delhi,West,Nangloi Jat,205596,0,0
NCT Of Delhi,South West,Delhi Cantonment,101704,0,0
NCT Of Delhi,South,Deoli,169122,0,0
Rajasthan,Ganganagar,Ganganagar,237780,29.916666666666668,73.88333333333334
Rajasthan,Hanumangarh,Hanumangarh,150958,29.625996,74.287491
Rajasthan,Bikaner,Bikaner,644406,28.027138,73.302155
Rajasthan,Churu,Churu,120157,28.292290,74.966583
Rajasthan,Churu,Sujangarh,101523,27.696903,74.452972
Rajasthan,Jhunjhunun,Jhunjhunun,118473,28.133333333333333,75.4
Rajasthan,Alwar,Bhiwadi,104921,28.216666666666665,76.86666666666666
Rajasthan,Alwar,Alwar,322568,27.560932,76.625015
Rajasthan,Bharatpur,Bharatpur,252838,27.216982,77.489517
Rajasthan,Dhaulpur,Dhaulpur,133075,26.7,77.9
Rajasthan,Karauli,Hindaun,105452,26.733333333333334,77.03333333333333
Rajasthan,Sawai Madhopur,Gangapur City,119090,0,0
Rajasthan,Sawai Madhopur,Sawai Madhopur,121106,0,0
Rajasthan,Jaipur,Jaipur,3073350,26.922070,75.778885
Rajasthan,Sikar,Sikar,244497,27.615406,75.125885
Rajasthan,Nagaur,Nagaur,105218,27.207006,73.742294
Rajasthan,Jodhpur,Jodhpur,1056191,26.263863,73.008957
Rajasthan,Pali,Pali,230075,25.771315,73.323685
Rajasthan,Ajmer,Kishangarh,154886,26.588528,74.872513
Rajasthan,Ajmer,Ajmer,542321,26.449896,74.639915
Rajasthan,Ajmer,Beawar,151152,26.100735,74.319077
Rajasthan,Tonk,Tonk,165294,26.17,75.78
Rajasthan,Bundi,Bundi,103286,25.430513,75.649902
Rajasthan,Bhilwara,Bhilwara,359483,25.346251,74.636383
Rajasthan,Banswara,Banswara,101017,23.546757,74.433830
Rajasthan,Chittaurgarh,Chittaurgarh,116406,24.883333333333333,74.63333333333334
Rajasthan,Kota,Kota,1001694,25,76.166
Rajasthan,Baran,Baran,117992,25.101145,76.513161
Rajasthan,Udaipur,Udaipur,451100,24.571270,73.691544
Uttar Pradesh,Saharanpur,Saharanpur,705478,29.959694,77.549057
Uttar Pradesh,Muzaffarnagar,Shamli,107266,29.448055,77.310280
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,392768,29.471397,77.696732
Uttar Pradesh,Moradabad,Moradabad,887871,28.841064,78.795319
Uttar Pradesh,Moradabad,Sambhal,220813,28.590361,78.571762
Uttar Pradesh,Moradabad,Chandausi,114383,28.45,78.76666666666667
Uttar Pradesh,Rampur,Rampur,325313,28.8,79.0
Uttar Pradesh,Jyotiba Phule Nagar,Amroha,198471,28.902397,78.465042
Uttar Pradesh,Meerut,Meerut,1305429,28.984644,77.705956
Uttar Pradesh,Baghpat,Baraut,103764,29.166666666666668,77.43333333333334
Uttar Pradesh,Ghaziabad,Modinagar,130325,28.838299,77.581055
Uttar Pradesh,Ghaziabad,Loni,516082,0,0
Uttar Pradesh,Ghaziabad,Ghaziabad,1648643,28.667856,77.449791
Uttar Pradesh,Ghaziabad,Khora,190005,28.366666666666667,77.2
Uttar Pradesh,Ghaziabad,Hapur,262983,28.730579,77.775879
Uttar Pradesh,Gautam Buddha Nagar,Noida,637272,28.566666666666666,77.31666666666666
Uttar Pradesh,Gautam Buddha Nagar,Greater Noida,102054,28.474388,77.503990
Uttar Pradesh,Bulandshahr,Bulandshahr,230024,28.406963,77.849831
Uttar Pradesh,Bulandshahr,Khurja,121207,28.252222,77.851784
Uttar Pradesh,Aligarh,Aligarh,874408,27.900383,78.072281
Uttar Pradesh,Mahamaya Nagar,Hathras,143020,27.600000,78.050003
Uttar Pradesh,Mathura,Mathura,349909,27.492413,77.673676
Uttar Pradesh,Agra,Agra,1585704,27.176670,78.008072
Uttar Pradesh,Firozabad,Firozabad,604214,27.159101,78.395760
Uttar Pradesh,Firozabad,Shikohabad,107404,27.108416,78.584602
