State,District,Level,Name,TOT_P
00,000,India,India,1210854977
01,000,STATE,JAMMU & KASHMIR,12541302
01,001,DISTRICT,Kupwara,870354
01,002,DISTRICT,Badgam,753745
01,003,DISTRICT,Leh(Ladakh),133487
01,004,DISTRICT,Kargil,140802
01,005,DISTRICT,Punch,476835
01,006,DISTRICT,Rajouri,642415
01,007,DISTRICT,Kathua,616435
01,008,DISTRICT,Baramula,1008039
01,009,DISTRICT,Bandipore,392232
01,010,DISTRICT,Srinagar,1236829
01,011,DISTRICT,Ganderbal,297446
01,012,DISTRICT,Pulwama,560440
01,013,DISTRICT,Shupiyan,266215
01,014,DISTRICT,Anantnag,1078692
01,015,DISTRICT,Kulgam,424483
01,016,DISTRICT,Doda,409936
01,017,DISTRICT,Ramban,283713
01,018,DISTRICT,Kishtwar,230696
01,019,DISTRICT,Udhampur,554985
01,020,DISTRICT,Reasi,314667
01,021,DISTRICT,Jammu,1529958
01,022,DISTRICT,Samba,318898
02,000,STATE,HIMACHAL PRADESH,6864602
02,023,DISTRICT,Chamba,519080
02,024,DISTRICT,Kangra,1510075
02,025,DISTRICT,Lahul & Spiti,31564
02,026,DISTRICT,Kullu,437903
02,027,DISTRICT,Mandi,999777
02,028,DISTRICT,Hamirpur,454768
02,029,DISTRICT,Una,521173
02,030,DISTRICT,Bilaspur,381956
02,031,DISTRICT,Solan,580320
02,032,DISTRICT,Sirmaur,529855
02,033,DISTRICT,Shimla,814010
02,034,DISTRICT,Kinnaur,84121
03,000,STATE,PUNJAB,27743338
03,035,DISTRICT,Gurdaspur,2298323
03,036,DISTRICT,Kapurthala ,815168
03,037,DISTRICT,Jalandhar,2193590
03,038,DISTRICT,Hoshiarpur,1586625
03,039,DISTRICT,Shahid Bhagat Singh Nagar ,612310
03,040,DISTRICT,Fatehgarh Sahib,600163
03,041,DISTRICT,Ludhiana,3498739
03,042,DISTRICT,Moga,995746
03,043,DISTRICT,Firozpur,2029074
03,044,DISTRICT,Muktsar,901896
03,045,DISTRICT,Faridkot,617508
03,046,DISTRICT,Bathinda,1388525
03,047,DISTRICT,Mansa,769751
03,048,DISTRICT,Patiala,1895686
03,049,DISTRICT,Amritsar ,2490656
03,050,DISTRICT,Tarn Taran,1119627
03,051,DISTRICT,Rupnagar,684627
03,052,DISTRICT,Sahibzada Ajit Singh Nagar,994628
