State Code, District Code, District, Population
01,001,Kupwara,870354
01,002,Badgam,753745
01,003,Leh(Ladakh),133487
01,004,Kargil,140802
01,005,Punch,476835
01,006,Rajouri,642415
01,007,Kathua,616435
01,008,Baramula,1008039
01,009,Bandipore,392232
01,010,Srinagar,1236829
01,011,Ganderbal,297446
01,012,Pulwama,560440
01,013,Shupiyan,266215
01,014,Anantnag,1078692
01,015,Kulgam,424483
01,016,Doda,409936
01,017,Ramban,283713
01,018,Kishtwar,230696
01,019,Udhampur,554985
01,020,Reasi,314667
01,021,Jammu,1529958
01,022,Samba,318898
02,023,Chamba,519080
02,024,Kangra,1510075
02,025,Lahul & Spiti,31564
02,026,Kullu,437903
02,027,Mandi,999777
02,028,Hamirpur,454768
02,029,Una,521173
02,030,Bilaspur,381956
02,031,Solan,580320
02,032,Sirmaur,529855
02,033,Shimla,814010
02,034,Kinnaur,84121
03,035,Gurdaspur,2298323
03,036,Kapurthala ,815168
03,037,Jalandhar,2193590
03,038,Hoshiarpur,1586625
03,039,Shahid Bhagat Singh Nagar ,612310
03,040,Fatehgarh Sahib,600163
03,041,Ludhiana,3498739
03,042,Moga,995746
03,043,Firozpur,2029074
03,044,Muktsar,901896
03,045,Faridkot,617508
03,046,Bathinda,1388525
03,047,Mansa,769751
03,048,Patiala,1895686
03,049,Amritsar ,2490656
03,050,Tarn Taran,1119627
03,051,Rupnagar,684627
03,052,Sahibzada Ajit Singh Nagar,994628
03,053,Sangrur,1655169
03,054,Barnala,595527
04,055,Chandigarh,1055450
05,056,Uttarkashi,330086
05,057,Chamoli,391605
05,058,Rudraprayag,242285
05,059,Tehri Garhwal,618931
05,060,Dehradun,1696694
05,061,Garhwal,687271
05,062,Pithoragarh,483439
05,063,Bageshwar,259898
05,064,"Almora",622506
05,065,Champawat,259648
05,066,Nainital,954605
05,067,Udham Singh Nagar,1648902
05,068,Hardwar,1890422
06,069,Panchkula,561293
06,070,Ambala,1128350
06,071,Yamunanagar,1214205
06,072,Kurukshetra,964655
06,073,Kaithal,1074304
06,074,Karnal,1505324
06,075,Panipat,1205437
06,076,Sonipat,1450001
06,077,Jind,1334152
06,078,Fatehabad,942011
06,079,Sirsa,1295189
06,080,Hisar,1743931
06,081,Bhiwani,1634445
06,082,Rohtak,1061204
06,083,Jhajjar,958405
06,084,Mahendragarh,922088
06,085,Rewari,900332
06,086,Gurgaon,1514432
06,087,Mewat ,1089263
06,088,Faridabad,1809733
06,089,Palwal ,1042708
07,090,North West,3656539
07,091,North,887978
07,092,North East,2241624
07,093,East,1709346
07,094,New Delhi,142004
07,095,Central,582320
07,096,West,2543243
07,097,South West,2292958
07,098,South,2731929
08,099,Ganganagar ,1969168
08,100,Hanumangarh,1774692
08,101,Bikaner,2363937
08,102,Churu,2039547
08,103,Jhunjhunun,2137045
08,104,Alwar,3674179
08,105,Bharatpur,2548462
08,106,Dhaulpur,1206516
08,107,Karauli,1458248
08,108,Sawai Madhopur,1335551
08,109,Dausa,1634409
08,110,Jaipur,6626178
08,111,Sikar,2677333
08,112,Nagaur,3307743
08,113,Jodhpur,3687165
