State/UT,#Districts,Population
Andhra Pradesh,13,49386799
Arunachal Pradesh,25,1383727
Assam,33,31169272
Bihar,38,104099452
Chhattisgarh,27,25545198
Goa,2,1458545
Gujarat,33,60439692
Haryana,22,25351462
Himachal Pradesh,12,6864602
Jharkhand,24,32988134
Karnataka,30,61095297
Kerala,14,33406061
Madhya Pradesh,52,72626809
Maharashtra,36,112374333
Manipur,16,2721756
Meghalaya,11,2966889
Mizoram,11,1097206
Nagaland,11,1978502
Odisha,30,41974218
Punjab,22,27743338
Rajasthan,33,68548437
Sikkim,4,610577
Tamil Nadu,38,72147030
Telangana,33,35193978
Tripura,8,3673917
Uttar Pradesh,75,199812341
Uttarakhand,13,10086292
West Bengal,23,91276115
Andaman and Nicobar Islands,3,380581
Chandigarh,1,1055450
Dadra and Nagar Haveli and Daman and Diu,3,586956
Jammu and Kashmir,20,1247953
Ladakh,2,1247953
Lakshadweep,1,64473
Delhi,11,16787941
Puducherry,4,1247953
