State,District,City,Population,Area (in km^2),Latitude,Longitude
Jammu & Kashmir,Srinagar,Srinagar,1180570,298,34.08,74.8
Jammu & Kashmir,Anantnag,Anantnag,150198,189,33.73,75.15
Jammu & Kashmir,Jammu,Jammu,576198,1070,32.73,74.87
Himachal Pradesh,Shimla,Shimla,169578,35,31.1,77.17
Punjab,Gurdaspur,Pathankot,156306,687,32.27,75.65
Punjab,Gurdaspur,Batala,158621,951,31.82,75.21
Punjab,Jalandhar,Jalandhar,868181,468,31.33,75.58
Punjab,Hoshiarpur,Hoshiarpur,168653,1119,31.53,75.91
Punjab,Ludhiana,Khanna,128137,212,30.7,76.22
Punjab,Ludhiana,Ludhiana,1618879,634,30.9,75.86
Punjab,Moga,Moga,163397,1235,30.82,75.17
Punjab,Firozpur,Firozpur,110313,1293,30.92,74.61
Punjab,Firozpur,Abohar,145302,1209,30.13,74.2
Punjab,Muktsar,Muktsar,116747,885,30.7,76.72
Punjab,Bathinda,Bathinda,285788,1512,30.21,74.95
Punjab,Patiala,Patiala,446246,1148,30.34,76.38
Punjab,Amritsar,Amritsar,1155664,562,31.63,74.87
Punjab,Sahibzada Ajit Singh Nagar,S.A.S. Nagar,166864,187,30.7,76.72
Punjab,Sangrur,Malerkotla,135424,684,30.53,75.89
Punjab,Barnala,Barnala,116449,898,30.37,75.53
Chandigarh,Chandigarh,Chandigarh,970602,114,30.74,76.77
Uttarakhand,Dehradun,Dehradun,574840,300,30.32,78.03
Uttarakhand,Nainital,Haldwani,201461,44,29.22,79.51
Uttarakhand,Udham Singh Nagar,Kashipur,121623,200,29.21,78.96
Uttarakhand,Udham Singh Nagar,Rudrapur,154554,27,28.98,79.4
Uttarakhand,Hardwar,Roorkee,118200,1067,29.85,77.89
Uttarakhand,Hardwar,Hardwar,231338,903,29.95,78.16
Haryana,Panchkula,Panchkula,211355,641,30.7,76.85
Haryana,Ambala,Ambala,195153,736,30.38,76.78
Haryana,Ambala,Ambala Sadar,104974,0,30.33,76.84
Haryana,Yamunanagar,Jagadhri,124894,840,30.17,77.3
Haryana,Yamunanagar,Yamunanagar,217071,0,30.12,77.28
Haryana,Kurukshetra,Thanesar,155152,801,29.96,76.82
Haryana,Kaithal,Kaithal,144915,1280,29.8,76.38
Haryana,Karnal,Karnal,302140,830,29.69,76.99
Haryana,Panipat,Panipat,295970,536,29.4,76.98
Haryana,Sonipat,Sonipat,289333,708,28.93,77.09
Haryana,Jind,Jind,167592,817,29.32,76.32
Haryana,Sirsa,Sirsa,182534,2069,29.54,75.03
Haryana,Hisar,Hisar,307024,2234,29.15,75.7
Haryana,Bhiwani,Bhiwani,196057,960,28.8,76.13
Haryana,Rohtak,Rohtak,374292,937,28.9,76.61
