State/UT,#Districts,Population,Area (in km^2),Latitude,Longitude
Andhra Pradesh,13,49386799,160205,16.50,80.63
Arunachal Pradesh,25,1383727,83743,27.07,93.37
Assam,33,31169272,78550,26.13,91.77
Bihar,38,104099452,94613,25.40,85.10
Chhattisgarh,27,25545198,135194,21.25,81.60
Goa,2,1458545,3702,15.50,73.83
Gujarat,33,60439692,196024,23.22,72.68
Haryana,22,25351462,44212,30.73,76.78
Himachal Pradesh,12,6864602,55673,31.10,77.17
Jharkhand,24,32988134,74677,23.35,85.33
Karnataka,30,61095297,191791,12.97,77.50
Kerala,14,33406061,38836,8.50,77.00
Madhya Pradesh,52,72626809,308252,0.00,0.00
Maharashtra,36,112374333,307713,18.97,72.82
Manipur,16,2721756,22347,0.00,0.00
Meghalaya,11,2966889,22720,25.57,91.88
Mizoram,11,1097206,21081,23.37,92.80
Nagaland,11,1978502,16579,25.67,94.12
Odisha,30,41974218,155820,20.27,85.82
Punjab,22,27743338,50362,0.00,0.00
Rajasthan,33,68548437,342269,26.60,73.80
Sikkim,4,610577,7096,27.33,88.62
Tamil Nadu,38,72147030,130058,13.08,80.27
Telangana,33,35193978,114840,17.35,78.47
Tripura,8,3673917,10492,23.83,91.28
Uttar Pradesh,75,199812341,243286,26.85,80.92
Uttarakhand,13,10086292,53483,30.33,78.07
West Bengal,23,91276115,88752,22.57,88.37
Andaman and Nicobar Islands,3,380581,8249,11.68,92.77
Chandigarh,1,1055450,114,30.75,76.78
Dadra and Nagar Haveli and Daman and Diu,3,586956,603,20.42,72.83
Delhi,11,16787941,1490,28.60,77.22
Jammu and Kashmir,20,1247953,55538,0.00,0.00
Ladakh,2,1247953,174852,34.17,77.57
Lakshadweep,1,64473,32,10.57,72.63
Puducherry,4,1247953,492,11.90,79.80
