State,District,City,Population,Area (in km^2),Latitude,Longitude
Andhra Pradesh,-,-,49386799,160205,16.5,80.63
Arunachal Pradesh,-,-,1383727,83743,27.07,93.37
Assam,-,-,31169272,78550,26.13,91.77
Bihar,-,-,104099452,94613,25.4,85.1
Chhattisgarh,-,-,25545198,135194,21.25,81.6
Goa,-,-,1458545,3702,15.5,73.83
Gujarat,-,-,60439692,196024,23.22,72.68
Haryana,-,-,25351462,44212,30.73,76.78
Himachal Pradesh,-,-,6864602,55673,31.1,77.17
Jharkhand,-,-,32988134,74677,23.35,85.33
Karnataka,-,-,61095297,191791,12.97,77.5
Kerala,-,-,33406061,38836,8.5,77
Madhya Pradesh,-,-,72626809,308252,0,0
Maharashtra,-,-,112374333,307713,18.97,72.82
Manipur,-,-,2721756,22347,0,0
Meghalaya,-,-,2966889,22720,25.57,91.88
Mizoram,-,-,1097206,21081,23.37,92.8
Nagaland,-,-,1978502,16579,25.67,94.12
Odisha,-,-,41974218,155820,20.27,85.82
Punjab,-,-,27743338,50362,0,0
Rajasthan,-,-,68548437,342269,26.6,73.8
Sikkim,-,-,610577,7096,27.33,88.62
Tamil Nadu,-,-,72147030,130058,13.08,80.27
Telangana,-,-,35193978,114840,17.35,78.47
Tripura,-,-,3673917,10492,23.83,91.28
Uttar Pradesh,-,-,199812341,243286,26.85,80.92
Uttarakhand,-,-,10086292,53483,30.33,78.07
West Bengal,-,-,91276115,88752,22.57,88.37
Andaman and Nicobar Islands,-,-,380581,8249,11.68,92.77
Chandigarh,-,-,1055450,114,30.75,76.78
Dadra and Nagar Haveli and Daman and Diu,-,-,586956,603,20.42,72.83
Delhi,-,-,16787941,1490,28.6,77.22
Jammu and Kashmir,-,-,1247953,55538,0,0
Ladakh,-,-,1247953,174852,34.17,77.57
Lakshadweep,-,-,64473,32,10.57,72.63
Puducherry,-,-,1247953,492,11.9,79.8
Andhra Pradesh,Anantapur,-,4083315,19130,14.7,77.6
Andhra Pradesh,Chittoor,-,4170468,15152,14.47,78.82
Andhra Pradesh,East Godavari,-,5151549,10807,16.95,82.25
Andhra Pradesh,Guntur,-,4889230,11391,16.3,80.45
Andhra Pradesh,Kadapa,-,2884524,15359,14.47,78.82
Andhra Pradesh,Krishna,-,4529009,8727,16.28,81.22
Andhra Pradesh,Kurnool,-,4046601,17658,15.8,77.97
Andhra Pradesh,Prakasam,-,3392764,17626,15.33,79.55
Andhra Pradesh,Sri Potti Sriramulu Nellore,-,2966082,13076,14.43,80
Andhra Pradesh,Srikakulam,-,2699471,5837,18.42,84.02
Andhra Pradesh,Visakhapatnam,-,4288113,11161,17.7,83.28
Andhra Pradesh,Vizianagaram,-,2342868,6539,18.2,83.4
Andhra Pradesh,West Godavari,-,3934782,7742,16.12,81.02
Arunachal Pradesh,Anjaw,-,21089,6190,27.92,96.33
Arunachal Pradesh,Changlang,-,147951,4662,27.12,95.73
Arunachal Pradesh,East Kameng,-,78413,4134,0,0
Arunachal Pradesh,East Siang,-,99019,3603,0,0
Arunachal Pradesh,Kamle,-,22256,200,0,0
Arunachal Pradesh,Kra Daadi,-,0,0,0,0
Arunachal Pradesh,Kurung Kumey,-,89717,6040,27.9,93.35
Arunachal Pradesh,Lepa Rada,-,0,0,0,0
Arunachal Pradesh,Lohit,-,145538,2402,28,96.5
Arunachal Pradesh,Longding,-,60000,1200,0,0
Arunachal Pradesh,Lower Dibang Valley,-,53986,3900,28.13,95.83
Arunachal Pradesh,Lower Siang,-,80597,0,0,0
Arunachal Pradesh,Lower Subansiri,-,82839,3508,27.8,93.6
Arunachal Pradesh,Namsai,-,95950,1587,27.67,95.87
Arunachal Pradesh,Pakke-Kessang,-,0,0,0,0
Arunachal Pradesh,Papum Pare,-,176385,2875,27.15,93.72
Arunachal Pradesh,Shi Yomi,-,13310,2875,0,0
Arunachal Pradesh,Siang,-,31920,2919,28.2,94.98
Arunachal Pradesh,Tawang,-,49950,2085,27.58,91.85
Arunachal Pradesh,Tirap,-,111997,2362,26.98,95.5
Arunachal Pradesh,Upper Dibang Valley,-,7948,9129,28.7,95.7
